Genus,total_genus,Source,Gene1,Gene2,total_source,amr_only,both_genes,comparison
Acinetobacter,28242,Egg,blaTEM,lmrS,2,0,0,blaTEM+lmrS
Acinetobacter,28242,Egg,blaTEM,smr,2,0,0,blaTEM+smr
Acinetobacter,28242,Egg,blaTEM,emrE,2,0,0,blaTEM+emrE
Acinetobacter,28242,Egg,blaVIM,qac,2,0,0,blaVIM+qac
Acinetobacter,28242,Egg,blaVIM,bcrABC,2,0,0,blaVIM+bcrABC
Acinetobacter,28242,Egg,blaVIM,crcB,2,0,0,blaVIM+crcB
Acinetobacter,28242,Egg,blaVIM,lmrS,2,0,0,blaVIM+lmrS
Acinetobacter,28242,Egg,blaVIM,smr,2,0,0,blaVIM+smr
Acinetobacter,28242,Egg,blaVIM,emrE,2,0,0,blaVIM+emrE
Acinetobacter,28242,Egg,catA,qac,2,0,0,catA+qac
Acinetobacter,28242,Egg,catA,bcrABC,2,0,0,catA+bcrABC
Acinetobacter,28242,Egg,catA,crcB,2,0,0,catA+crcB
Acinetobacter,28242,Egg,catA,lmrS,2,0,0,catA+lmrS
Acinetobacter,28242,Egg,catA,smr,2,0,0,catA+smr
Acinetobacter,28242,Egg,catA,emrE,2,0,0,catA+emrE
Acinetobacter,28242,Egg,cmlA,qac,2,0,0,cmlA+qac
Acinetobacter,28242,Egg,cmlA,bcrABC,2,0,0,cmlA+bcrABC
Acinetobacter,28242,Egg,cmlA,crcB,2,0,0,cmlA+crcB
Acinetobacter,28242,Egg,cmlA,lmrS,2,0,0,cmlA+lmrS
Acinetobacter,28242,Egg,cmlA,smr,2,0,0,cmlA+smr
Acinetobacter,28242,Egg,cmlA,emrE,2,0,0,cmlA+emrE
Acinetobacter,28242,Egg,dfrA,qac,2,0,0,dfrA+qac
Acinetobacter,28242,Egg,dfrA,bcrABC,2,0,0,dfrA+bcrABC
Acinetobacter,28242,Egg,dfrA,crcB,2,0,0,dfrA+crcB
Acinetobacter,28242,Egg,dfrA,lmrS,2,0,0,dfrA+lmrS
Acinetobacter,28242,Egg,dfrA,smr,2,0,0,dfrA+smr
Acinetobacter,28242,Egg,dfrA,emrE,2,0,0,dfrA+emrE
Acinetobacter,28242,Egg,mec,qac,2,0,0,mec+qac
Acinetobacter,28242,Egg,mec,bcrABC,2,0,0,mec+bcrABC
Acinetobacter,28242,Egg,mec,crcB,2,0,0,mec+crcB
Acinetobacter,28242,Egg,mec,lmrS,2,0,0,mec+lmrS
Acinetobacter,28242,Egg,mec,smr,2,0,0,mec+smr
Acinetobacter,28242,Egg,mec,emrE,2,0,0,mec+emrE
Acinetobacter,28242,Egg,mcr-,qac,2,0,0,mcr-+qac
Acinetobacter,28242,Egg,mcr-,bcrABC,2,0,0,mcr-+bcrABC
Acinetobacter,28242,Egg,mcr-,crcB,2,0,0,mcr-+crcB
Acinetobacter,28242,Egg,mcr-,lmrS,2,0,0,mcr-+lmrS
Acinetobacter,28242,Egg,mcr-,smr,2,0,0,mcr-+smr
Acinetobacter,28242,Egg,mcr-,emrE,2,0,0,mcr-+emrE
Acinetobacter,28242,Egg,qnrS,qac,2,0,0,qnrS+qac
Acinetobacter,28242,Egg,qnrS,bcrABC,2,0,0,qnrS+bcrABC
Acinetobacter,28242,Egg,qnrS,crcB,2,0,0,qnrS+crcB
Acinetobacter,28242,Egg,qnrS,lmrS,2,0,0,qnrS+lmrS
Acinetobacter,28242,Egg,qnrS,smr,2,0,0,qnrS+smr
Acinetobacter,28242,Egg,qnrS,emrE,2,0,0,qnrS+emrE
Acinetobacter,28242,Egg,sul,qac,2,0,0,sul+qac
Acinetobacter,28242,Egg,sul,bcrABC,2,0,0,sul+bcrABC
Acinetobacter,28242,Egg,sul,crcB,2,0,0,sul+crcB
Acinetobacter,28242,Egg,sul,lmrS,2,0,0,sul+lmrS
Acinetobacter,28242,Egg,sul,smr,2,0,0,sul+smr
Acinetobacter,28242,Egg,sul,emrE,2,0,0,sul+emrE
Acinetobacter,28242,Egg,tet,qac,2,0,0,tet+qac
Acinetobacter,28242,Egg,tet,bcrABC,2,0,0,tet+bcrABC
Acinetobacter,28242,Egg,tet,crcB,2,0,0,tet+crcB
Acinetobacter,28242,Egg,tet,lmrS,2,0,0,tet+lmrS
Acinetobacter,28242,Egg,tet,smr,2,0,0,tet+smr
Acinetobacter,28242,Egg,tet,emrE,2,0,0,tet+emrE
Acinetobacter,28242,Egg,van,qac,2,0,0,van+qac
Acinetobacter,28242,Egg,van,bcrABC,2,0,0,van+bcrABC
Acinetobacter,28242,Egg,van,crcB,2,0,0,van+crcB
Acinetobacter,28242,Egg,van,lmrS,2,0,0,van+lmrS
Acinetobacter,28242,Egg,van,smr,2,0,0,van+smr
Acinetobacter,28242,Egg,van,emrE,2,0,0,van+emrE
Acinetobacter,28242,Fish/Seafood,aac(3),qac,1,0,0,aac(3)+qac
