Genus,Total_genus,Source,Gene,number,total
Acinetobacter,28242,Nuts/Seeds,qacC,,
Acinetobacter,28242,Nuts/Seeds,qacE,,
Acinetobacter,28242,Nuts/Seeds,qacA,,
Acinetobacter,28242,Nuts/Seeds,qacB,,
Acinetobacter,28242,Nuts/Seeds,qacF,,
Acinetobacter,28242,Nuts/Seeds,qacG,,
Acinetobacter,28242,Nuts/Seeds,qacH,,
Acinetobacter,28242,Nuts/Seeds,qacJ,,
Acinetobacter,28242,Nuts/Seeds,qacK,,
Acinetobacter,28242,Nuts/Seeds,qacL,,
Acinetobacter,28242,Nuts/Seeds,qacM,,
Acinetobacter,28242,Nuts/Seeds,sugE,,
Acinetobacter,28242,Nuts/Seeds,bcrABC,,
Acinetobacter,28242,Nuts/Seeds,crcB,,
Acinetobacter,28242,Nuts/Seeds,srp,,
Acinetobacter,28242,Nuts/Seeds,smd,,
Acinetobacter,28242,Nuts/Seeds,sde,,
Acinetobacter,28242,Nuts/Seeds,lmrS,,
Acinetobacter,28242,Nuts/Seeds,smr,,
Acinetobacter,28242,Nuts/Seeds,ssmE,,
Acinetobacter,28242,Nuts/Seeds,tbtR,,
Acinetobacter,28242,Nuts/Seeds,ttg,,
Acinetobacter,28242,Nuts/Seeds,ttgR,,
Acinetobacter,28242,Nuts/Seeds,ttgT,,
Acinetobacter,28242,Nuts/Seeds,mtrF,,
Acinetobacter,28242,Nuts/Seeds,emrE,,
Acinetobacter,28242,Tea,qac,,
Acinetobacter,28242,Tea,qacEdelta,,
Acinetobacter,28242,Tea,qacC,,
Acinetobacter,28242,Tea,qacE,,
Acinetobacter,28242,Tea,qacA,,
Acinetobacter,28242,Tea,qacB,,
Acinetobacter,28242,Tea,qacF,,
Acinetobacter,28242,Tea,qacG,,
Acinetobacter,28242,Tea,qacH,,
Acinetobacter,28242,Tea,qacJ,,
Acinetobacter,28242,Tea,qacK,,
Acinetobacter,28242,Tea,qacL,,
Acinetobacter,28242,Tea,qacM,,
Acinetobacter,28242,Tea,sugE,,
Acinetobacter,28242,Tea,bcrABC,,
Acinetobacter,28242,Tea,crcB,,
Acinetobacter,28242,Tea,srp,,
Acinetobacter,28242,Tea,smd,,
Acinetobacter,28242,Tea,sde,,
Acinetobacter,28242,Tea,lmrS,,
Acinetobacter,28242,Tea,smr,,
Acinetobacter,28242,Tea,ssmE,,
Acinetobacter,28242,Tea,tbtR,,
Acinetobacter,28242,Tea,ttg,,
Acinetobacter,28242,Tea,ttgR,,
Acinetobacter,28242,Tea,ttgT,,
Acinetobacter,28242,Tea,mtrF,,
Acinetobacter,28242,Tea,emrE,,
Acinetobacter,28242,Clinical,qac,21905,8771
Acinetobacter,28242,Clinical,qacEdelta,21905,8485
Acinetobacter,28242,Clinical,qacC,21905,3
Acinetobacter,28242,Clinical,qacE,21905,217
Acinetobacter,28242,Clinical,qacA,21905,0
Acinetobacter,28242,Clinical,qacB,21905,0
Acinetobacter,28242,Clinical,qacF,21905,0
Acinetobacter,28242,Clinical,qacG,21905,5
Acinetobacter,28242,Clinical,qacH,21905,1
Acinetobacter,28242,Clinical,qacJ,21905,0
Acinetobacter,28242,Clinical,qacK,21905,1
Acinetobacter,28242,Clinical,qacL,21905,0
Acinetobacter,28242,Clinical,qacM,21905,0
Acinetobacter,28242,Clinical,sugE,21905,0
Acinetobacter,28242,Clinical,bcrABC,21905,0
Acinetobacter,28242,Clinical,crcB,21905,0
Acinetobacter,28242,Clinical,srp,21905,0
Acinetobacter,28242,Clinical,smd,21905,0
Acinetobacter,28242,Clinical,sde,21905,0
Acinetobacter,28242,Clinical,lmrS,21905,0
Acinetobacter,28242,Clinical,smr,21905,0
Acinetobacter,28242,Clinical,ssmE,21905,0
Acinetobacter,28242,Clinical,tbtR,21905,0
Acinetobacter,28242,Clinical,ttg,21905,0
Acinetobacter,28242,Clinical,ttgR,21905,0
Acinetobacter,28242,Clinical,ttgT,21905,0
Acinetobacter,28242,Clinical,mtrF,21905,0
Acinetobacter,28242,Clinical,emrE,21905,0
Aeromonas,1213,Raw pet food,qac,,
Aeromonas,1213,Raw pet food,qacEdelta,,
Aeromonas,1213,Raw pet food,qacC,,
Aeromonas,1213,Raw pet food,qacE,,
Aeromonas,1213,Raw pet food,qacA,,
Aeromonas,1213,Raw pet food,qacB,,
Aeromonas,1213,Raw pet food,qacF,,
Aeromonas,1213,Raw pet food,qacG,,
Aeromonas,1213,Raw pet food,qacH,,
Aeromonas,1213,Raw pet food,qacJ,,
Aeromonas,1213,Raw pet food,qacK,,
Aeromonas,1213,Raw pet food,qacL,,
Aeromonas,1213,Raw pet food,qacM,,
Aeromonas,1213,Raw pet food,sugE,,
Aeromonas,1213,Raw pet food,bcrABC,,
Aeromonas,1213,Raw pet food,crcB,,
Aeromonas,1213,Raw pet food,srp,,
Aeromonas,1213,Raw pet food,smd,,
Aeromonas,1213,Raw pet food,sde,,
Aeromonas,1213,Raw pet food,lmrS,,
Aeromonas,1213,Raw pet food,smr,,
Aeromonas,1213,Raw pet food,ssmE,,
Aeromonas,1213,Raw pet food,tbtR,,
Aeromonas,1213,Raw pet food,ttg,,
