Genus,Source,Cluster,total_source,number
Bacillus,Dairy,vanA_YXcluster,165,0
Bacillus,Dairy,vanA_cluster,165,0
Bacillus,Dairy,vanB_YXcluster,165,0
Bacillus,Dairy,vanB_cluster,165,0
Bacillus,Dairy,vanRSPt_cluster,165,5
Bacillus,Dairy,vanGZ_cluster,165,0
Bacillus,Dairy,vanG_cluster,165,0
Bacillus,Fruit/Vegetables,vanA_YXcluster,71,0
Bacillus,Fruit/Vegetables,vanA_cluster,71,0
Bacillus,Fruit/Vegetables,vanB_YXcluster,71,0
Bacillus,Fruit/Vegetables,vanB_cluster,71,0
Bacillus,Fruit/Vegetables,vanRSPt_cluster,71,9
Bacillus,Fruit/Vegetables,vanGZ_cluster,71,0
Bacillus,Fruit/Vegetables,vanG_cluster,71,0
Bacillus,Clinical,vanA_YXcluster,326,0
Bacillus,Clinical,vanA_cluster,326,0
Bacillus,Clinical,vanB_YXcluster,326,0
Bacillus,Clinical,vanB_cluster,326,0
Bacillus,Clinical,vanRSPt_cluster,326,8
Bacillus,Clinical,vanGZ_cluster,326,0
Bacillus,Clinical,vanG_cluster,326,0
Campylobacter,Animal feed,vanA_YXcluster,14,0
Campylobacter,Animal feed,vanA_cluster,14,0
Campylobacter,Animal feed,vanB_YXcluster,14,0
Campylobacter,Animal feed,vanB_cluster,14,0
Campylobacter,Animal feed,vanRSPt_cluster,14,0
Campylobacter,Animal feed,vanGZ_cluster,14,0
Campylobacter,Animal feed,vanG_cluster,14,0
Campylobacter,Raw pet food,vanA_YXcluster,0,0
Campylobacter,Raw pet food,vanA_cluster,0,0
Campylobacter,Raw pet food,vanB_YXcluster,0,0
Campylobacter,Raw pet food,vanB_cluster,0,0
Campylobacter,Raw pet food,vanRSPt_cluster,0,0
Campylobacter,Raw pet food,vanGZ_cluster,0,0
Campylobacter,Raw pet food,vanG_cluster,0,0
Campylobacter,Pet food,vanA_YXcluster,0,0
Campylobacter,Pet food,vanA_cluster,0,0
Campylobacter,Pet food,vanB_YXcluster,0,0
Campylobacter,Pet food,vanB_cluster,0,0
Campylobacter,Pet food,vanRSPt_cluster,0,0
Campylobacter,Pet food,vanGZ_cluster,0,0
Campylobacter,Pet food,vanG_cluster,0,0
Campylobacter,Egg,vanA_YXcluster,17,0
Campylobacter,Egg,vanA_cluster,17,0
Campylobacter,Egg,vanB_YXcluster,17,0
Campylobacter,Egg,vanB_cluster,17,0
Campylobacter,Egg,vanRSPt_cluster,17,0
Campylobacter,Egg,vanGZ_cluster,17,0
Campylobacter,Egg,vanG_cluster,17,0
Campylobacter,Fish/Seafood,vanA_YXcluster,23,0
Campylobacter,Fish/Seafood,vanA_cluster,23,0
Campylobacter,Fish/Seafood,vanB_YXcluster,23,0
Campylobacter,Fish/Seafood,vanB_cluster,23,0
Campylobacter,Fish/Seafood,vanRSPt_cluster,23,0
Campylobacter,Fish/Seafood,vanGZ_cluster,23,0
Campylobacter,Fish/Seafood,vanG_cluster,23,0
Campylobacter,Multi-product,vanA_YXcluster,3045,0
Campylobacter,Multi-product,vanA_cluster,3045,0
Campylobacter,Multi-product,vanB_YXcluster,3045,0
Campylobacter,Multi-product,vanB_cluster,3045,0
Campylobacter,Multi-product,vanRSPt_cluster,3045,0
Campylobacter,Multi-product,vanGZ_cluster,3045,0
Campylobacter,Multi-product,vanG_cluster,3045,0
Campylobacter,Meat/Poultry,vanA_YXcluster,30807,0
Campylobacter,Meat/Poultry,vanA_cluster,30807,0
Campylobacter,Meat/Poultry,vanB_YXcluster,30807,0
Campylobacter,Meat/Poultry,vanB_cluster,30807,0
Campylobacter,Meat/Poultry,vanRSPt_cluster,30807,0
Campylobacter,Meat/Poultry,vanGZ_cluster,30807,0
Campylobacter,Meat/Poultry,vanG_cluster,30807,0
Campylobacter,Dairy,vanA_YXcluster,149,0
Campylobacter,Dairy,vanA_cluster,149,0
Campylobacter,Dairy,vanB_YXcluster,149,0
Campylobacter,Dairy,vanB_cluster,149,0
Campylobacter,Dairy,vanRSPt_cluster,149,0
Campylobacter,Dairy,vanGZ_cluster,149,0
Campylobacter,Dairy,vanG_cluster,149,0
Campylobacter,Fruit/Vegetables,vanA_YXcluster,0,0
Campylobacter,Fruit/Vegetables,vanA_cluster,0,0
Campylobacter,Fruit/Vegetables,vanB_YXcluster,0,0
Campylobacter,Fruit/Vegetables,vanB_cluster,0,0
Campylobacter,Fruit/Vegetables,vanRSPt_cluster,0,0
Campylobacter,Fruit/Vegetables,vanGZ_cluster,0,0
Campylobacter,Fruit/Vegetables,vanG_cluster,0,0
Campylobacter,Clinical,vanA_YXcluster,16577,0
Campylobacter,Clinical,vanA_cluster,16577,0
Campylobacter,Clinical,vanB_YXcluster,16577,0
Campylobacter,Clinical,vanB_cluster,16577,0
Campylobacter,Clinical,vanRSPt_cluster,16577,0
Campylobacter,Clinical,vanGZ_cluster,16577,0
Campylobacter,Clinical,vanG_cluster,16577,0
Citrobacter,Animal feed,vanA_YXcluster,3,0
Citrobacter,Animal feed,vanA_cluster,3,0
Citrobacter,Animal feed,vanB_YXcluster,3,0
Citrobacter,Animal feed,vanB_cluster,3,0
Citrobacter,Animal feed,vanRSPt_cluster,3,0
Citrobacter,Animal feed,vanGZ_cluster,3,0
Citrobacter,Animal feed,vanG_cluster,3,0
Citrobacter,Raw pet food,vanA_YXcluster,2,0
Citrobacter,Raw pet food,vanA_cluster,2,0
Citrobacter,Raw pet food,vanB_YXcluster,2,0
Citrobacter,Raw pet food,vanB_cluster,2,0
Citrobacter,Raw pet food,vanRSPt_cluster,2,0
Citrobacter,Raw pet food,vanGZ_cluster,2,0
Citrobacter,Raw pet food,vanG_cluster,2,0
Citrobacter,Pet food,vanA_YXcluster,1,0
