Genus,Source,Gene,number,total,Percent
Escherichia coli,Farm sewage,blaCMY,4,6,66.66666667
Escherichia coli,Fish/Seafood,blaCMY,1,221,0.452488688
Escherichia coli,Food,blaCMY,10,765,1.307189542
Escherichia coli,Meat,blaCMY,408,9135,4.466338259
Escherichia coli,Reptile,blaCMY,0,13,0
Escherichia coli,Cider,blaCMY,0,14,0
Escherichia coli,Dairy,blaCMY,5,325,1.538461538
Escherichia coli,Slaughterhouse,blaCMY,12,247,4.858299595
Escherichia coli,Farm water,blaCMY,3,29,10.34482759
Escherichia coli,Flour,blaCMY,0,84,0
Escherichia coli,Fruit/vegetables,blaCMY,1,763,0.131061599
Escherichia coli,Seeds,blaCMY,0,5,0
Escherichia coli,Spice_Herbs,blaCMY,0,49,0
Escherichia coli,Insect,blaCMY,0,25,0
Escherichia coli,Nuts,blaCMY,0,29,0
Escherichia coli,Plant,blaCMY,0,16,0
Escherichia coli,Sewage,blaCMY,37,331,11.17824773
Escherichia coli,Wastewater,blaCMY,7,625,1.12
Escherichia coli,Water,blaCMY,39,1464,2.663934426
Escherichia coli,Tea,blaCMY,,,
Escherichia coli,Clinical,blaCMY-2,985,40966,2.404432944
Escherichia coli,Animal,blaCMY-2,413,9972,4.14159647
Escherichia coli,Animal environment,blaCMY-2,6,91,6.593406593
Escherichia coli,Animal feces,blaCMY-2,251,4932,5.089213301
Escherichia coli,Farm,blaCMY-2,243,1500,16.2
Escherichia coli,Egg,blaCMY-2,3,26,11.53846154
Escherichia coli,Farm sewage,blaCMY-2,3,6,50
Escherichia coli,Fish/Seafood,blaCMY-2,1,221,0.452488688
Escherichia coli,Food,blaCMY-2,8,765,1.045751634
Escherichia coli,Meat,blaCMY-2,307,9135,3.360700602
Escherichia coli,Reptile,blaCMY-2,0,13,0
Escherichia coli,Cider,blaCMY-2,0,14,0
Escherichia coli,Dairy,blaCMY-2,5,325,1.538461538
Escherichia coli,Slaughterhouse,blaCMY-2,10,247,4.048582996
Escherichia coli,Farm water,blaCMY-2,3,29,10.34482759
Escherichia coli,Flour,blaCMY-2,0,84,0
Escherichia coli,Fruit/vegetables,blaCMY-2,1,763,0.131061599
Escherichia coli,Seeds,blaCMY-2,0,5,0
Escherichia coli,Spice_Herbs,blaCMY-2,0,49,0
Escherichia coli,Insect,blaCMY-2,0,25,0
Escherichia coli,Nuts,blaCMY-2,0,29,0
Escherichia coli,Plant,blaCMY-2,0,16,0
Escherichia coli,Sewage,blaCMY-2,32,331,9.667673716
Escherichia coli,Wastewater,blaCMY-2,7,625,1.12
Escherichia coli,Water,blaCMY-2,35,1464,2.390710383
Escherichia coli,Tea,blaCMY-2,,,
Escherichia coli,Clinical,blaCTX-M,11474,40966,28.00859249
Escherichia coli,Animal,blaCTX-M,711,9972,7.129963899
Escherichia coli,Animal environment,blaCTX-M,7,91,7.692307692
Escherichia coli,Animal feces,blaCTX-M,535,4932,10.84752636
Escherichia coli,Farm,blaCTX-M,199,1500,13.26666667
Escherichia coli,Egg,blaCTX-M,0,26,0
Escherichia coli,Farm sewage,blaCTX-M,5,6,83.33333333
Escherichia coli,Fish/Seafood,blaCTX-M,13,221,5.882352941
Escherichia coli,Food,blaCTX-M,199,765,26.0130719
Escherichia coli,Meat,blaCTX-M,1479,9135,16.19047619
Escherichia coli,Reptile,blaCTX-M,0,13,0
Escherichia coli,Cider,blaCTX-M,0,14,0
Escherichia coli,Dairy,blaCTX-M,17,325,5.230769231
Escherichia coli,Slaughterhouse,blaCTX-M,67,247,27.12550607
Escherichia coli,Farm water,blaCTX-M,7,29,24.13793103
Escherichia coli,Flour,blaCTX-M,0,84,0
Escherichia coli,Fruit/vegetables,blaCTX-M,17,763,2.228047182
Escherichia coli,Seeds,blaCTX-M,0,5,0
Escherichia coli,Spice_Herbs,blaCTX-M,0,49,0
Escherichia coli,Insect,blaCTX-M,0,25,0
Escherichia coli,Nuts,blaCTX-M,0,29,0
Escherichia coli,Plant,blaCTX-M,0,16,0
Escherichia coli,Sewage,blaCTX-M,122,331,36.85800604
Escherichia coli,Wastewater,blaCTX-M,239,625,38.24
Escherichia coli,Water,blaCTX-M,248,1464,16.93989071
Escherichia coli,Tea,blaCTX-M,,,
Escherichia coli,Clinical,blaGES,2,40966,0.004882097
Escherichia coli,Animal,blaGES,0,9972,0
Escherichia coli,Animal environment,blaGES,0,91,0
Escherichia coli,Animal feces,blaGES,0,4932,0
Escherichia coli,Farm,blaGES,0,1500,0
Escherichia coli,Egg,blaGES,0,26,0
Escherichia coli,Farm sewage,blaGES,0,6,0
Escherichia coli,Fish/Seafood,blaGES,0,221,0
Escherichia coli,Food,blaGES,0,765,0
Escherichia coli,Meat,blaGES,0,9135,0
Escherichia coli,Reptile,blaGES,0,13,0
