Genus,Source,Class,number,total,Percent
Escherichia coli,Animal feces,biocide,9400,12396,75.8309132
Escherichia coli,Farm,biocide,4026,6060,66.43564356
Escherichia coli,Egg,biocide,18,28,64.28571429
Escherichia coli,Farm sewage,biocide,,,
Escherichia coli,Fish/Seafood,biocide,308,440,70
Escherichia coli,Food,biocide,3535,5138,68.80108992
Escherichia coli,Meat,biocide,19221,24090,79.7882939
Escherichia coli,Reptile,biocide,8,10,80
Escherichia coli,Cider,biocide,13,14,92.85714286
Escherichia coli,Dairy,biocide,573,969,59.13312693
Escherichia coli,Slaughterhouse,biocide,555,681,81.49779736
Escherichia coli,Farm water,biocide,30,45,66.66666667
Escherichia coli,Flour,biocide,35,84,41.66666667
Escherichia coli,Fruit/vegetables,biocide,474,763,62.1231979
Escherichia coli,Seeds,biocide,,,
Escherichia coli,Spice_Herbs,biocide,58,88,65.90909091
Escherichia coli,Insect,biocide,30,46,65.2173913
Escherichia coli,Nuts,biocide,24,29,82.75862069
Escherichia coli,Plant,biocide,1,16,6.25
Escherichia coli,Sewage,biocide,560,660,84.84848485
Escherichia coli,Wastewater,biocide,974,1230,79.18699187
Escherichia coli,Water,biocide,1037,1464,70.83333333
Escherichia coli,Tea,biocide,,,
Escherichia coli,Clinical,Metal,19784,40973,48.28545628
Escherichia coli,Animal,Metal,7976,19822,40.23811926
Escherichia coli,Animal environment,Metal,48,170,28.23529412
Escherichia coli,Animal feces,Metal,6984,12396,56.34075508
Escherichia coli,Farm,Metal,2526,6060,41.68316832
Escherichia coli,Egg,Metal,10,28,35.71428571
Escherichia coli,Farm sewage,Metal,,,
Escherichia coli,Fish/Seafood,Metal,122,440,27.72727273
Escherichia coli,Food,Metal,2611,5138,50.81743869
Escherichia coli,Meat,Metal,10836,24090,44.98132005
Escherichia coli,Reptile,Metal,6,10,60
Escherichia coli,Cider,Metal,1,14,7.142857143
Escherichia coli,Dairy,Metal,372,969,38.39009288
Escherichia coli,Slaughterhouse,Metal,291,681,42.73127753
Escherichia coli,Farm water,Metal,30,45,66.66666667
Escherichia coli,Flour,Metal,34,84,40.47619048
Escherichia coli,Fruit/vegetables,Metal,207,763,27.12975098
Escherichia coli,Seeds,Metal,,,
Escherichia coli,Spice_Herbs,Metal,14,88,15.90909091
Escherichia coli,Insect,Metal,46,46,100
Escherichia coli,Nuts,Metal,22,29,75.86206897
Escherichia coli,Plant,Metal,14,16,87.5
Escherichia coli,Sewage,Metal,260,660,39.39393939
Escherichia coli,Wastewater,Metal,422,1230,34.30894309
Escherichia coli,Water,Metal,509,1464,34.76775956
Escherichia coli,Tea,Metal,,,
Shigella,Clinical,aminoglycoside,10262,11270,91.05590062
Shigella,Animal,aminoglycoside,12,24,50
Shigella,Animal environment,aminoglycoside,,,
Shigella,Animal feces,aminoglycoside,,,
Shigella,Farm,aminoglycoside,,,
Shigella,Egg,aminoglycoside,,,
Shigella,Farm sewage,aminoglycoside,,,
Shigella,Fish/Seafood,aminoglycoside,0,2,0
Shigella,Food,aminoglycoside,35,35,100
Shigella,Meat,aminoglycoside,6,12,50
Shigella,Reptile,aminoglycoside,,,
Shigella,Cider,aminoglycoside,,,
Shigella,Dairy,aminoglycoside,,,
Shigella,Slaughterhouse,aminoglycoside,,,
Shigella,Farm water,aminoglycoside,,,
Shigella,Flour,aminoglycoside,,,
Shigella,Fruit/vegetables,aminoglycoside,1,1,100
Shigella,Seeds,aminoglycoside,,,
Shigella,Spice_Herbs,aminoglycoside,,,
Shigella,Insect,aminoglycoside,,,
Shigella,Nuts,aminoglycoside,,,
Shigella,Plant,aminoglycoside,,,
Shigella,Sewage,aminoglycoside,2,2,100
Shigella,Wastewater,aminoglycoside,,,
Shigella,Water,aminoglycoside,1,2,50
Shigella,Tea,aminoglycoside,,,
Shigella,Clinical,betalactam,7087,11270,62.8837622
Shigella,Animal,betalactam,14,24,58.33333333
Shigella,Animal environment,betalactam,,,
Shigella,Animal feces,betalactam,,,
Shigella,Farm,betalactam,,,
Shigella,Egg,betalactam,,,
Shigella,Farm sewage,betalactam,,,
Shigella,Fish/Seafood,betalactam,0,2,0
Shigella,Food,betalactam,35,35,100
Shigella,Meat,betalactam,3,12,25
Shigella,Reptile,betalactam,,,
Shigella,Cider,betalactam,,,
Shigella,Dairy,betalactam,,,
Shigella,Slaughterhouse,betalactam,,,
Shigella,Farm water,betalactam,,,
Shigella,Flour,betalactam,,,
Shigella,Fruit/vegetables,betalactam,1,1,100
