Species,Genus,total_genus,Source,Gene,number,total
Enterobacter mori,Enterobacter,48,Spice/Herbs,blaCARB,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,blaCMY,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,blaCMY-2,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,blaCTX-M,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,blaGES,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,blaIMP,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,blaKPC,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,blaNDM,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,blaOXA,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,blaPER,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,blaSHV,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,blaTEM,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,blaVIM,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,catA,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,cmlA,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,dfrA,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,mec,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,mcr-,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,mcr-1,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,mcr-9,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,qnrS,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,sul,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,tet,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,van,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,gyrA,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,parC,,
Enterobacter mori,Enterobacter,48,Spice/Herbs,parE,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,aac(3),,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,aac(6')-Ib-cr,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,aadA,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,aph(3'')-Ib,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,aph(3'),,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,aph(6)-Id,,
Enterobacter mori,Enterobacter,48,Nuts/Seeds,blaACT,,
