Genus,Source,Gene,number,total
Aeromonas salmonicida,330,Farm sewage,qacE,0,0
Aeromonas salmonicida,330,Farm sewage,qacA,0,0
Aeromonas salmonicida,330,Farm sewage,qacB,0,0
Aeromonas salmonicida,330,Farm sewage,qacF,0,0
Aeromonas salmonicida,330,Farm sewage,qacG,0,0
Aeromonas salmonicida,330,Farm sewage,qacH,0,0
Aeromonas salmonicida,330,Farm sewage,qacJ,0,0
Aeromonas salmonicida,330,Farm sewage,qacK,0,0
Aeromonas salmonicida,330,Farm sewage,qacL,0,0
Aeromonas salmonicida,330,Farm sewage,qacM,0,0
Aeromonas salmonicida,330,Farm sewage,sugE,0,0
Aeromonas salmonicida,330,Farm sewage,bcrABC,0,0
Aeromonas salmonicida,330,Farm sewage,crcB,0,0
Aeromonas salmonicida,330,Farm sewage,srp,0,0
Aeromonas salmonicida,330,Farm sewage,smd,0,0
Aeromonas salmonicida,330,Farm sewage,sde,0,0
Aeromonas salmonicida,330,Farm sewage,lmrS,0,0
Aeromonas salmonicida,330,Farm sewage,smr,0,0
Aeromonas salmonicida,330,Farm sewage,ssmE,0,0
Aeromonas salmonicida,330,Farm sewage,tbtR,0,0
Aeromonas salmonicida,330,Farm sewage,ttg,0,0
Aeromonas salmonicida,330,Farm sewage,ttgR,0,0
Aeromonas salmonicida,330,Farm sewage,ttgT,0,0
Aeromonas salmonicida,330,Farm sewage,mtrF,0,0
Aeromonas salmonicida,330,Farm sewage,emrE,0,0
Aeromonas salmonicida,330,Fish/Seafood,qac,6,1
Aeromonas salmonicida,330,Fish/Seafood,qacEdelta,6,1
Aeromonas salmonicida,330,Fish/Seafood,qacC,6,0
Aeromonas salmonicida,330,Fish/Seafood,qacE,6,0
Aeromonas salmonicida,330,Fish/Seafood,qacA,6,0
Aeromonas salmonicida,330,Fish/Seafood,qacB,6,0
Aeromonas salmonicida,330,Fish/Seafood,qacF,6,0
Aeromonas salmonicida,330,Fish/Seafood,qacG,6,0
Aeromonas salmonicida,330,Fish/Seafood,qacH,6,0
Aeromonas salmonicida,330,Fish/Seafood,qacJ,6,0
Aeromonas salmonicida,330,Fish/Seafood,qacK,6,0
Aeromonas salmonicida,330,Fish/Seafood,qacL,6,0
Aeromonas salmonicida,330,Fish/Seafood,qacM,6,0
Aeromonas salmonicida,330,Fish/Seafood,sugE,6,0
Aeromonas salmonicida,330,Fish/Seafood,bcrABC,6,0
Aeromonas salmonicida,330,Fish/Seafood,crcB,6,0
Aeromonas salmonicida,330,Fish/Seafood,srp,6,0
Aeromonas salmonicida,330,Fish/Seafood,smd,6,0
