Species,Genus,Total_genus,Source,Class,total_from_source,number_res
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,Biocide,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,Metal,4,4
Aeromonas salmonicida,Aeromonas,330,Cider,aminoglycoside,,
Aeromonas salmonicida,Aeromonas,330,Cider,betalactam,,
Aeromonas salmonicida,Aeromonas,330,Cider,bleomycin,,
Aeromonas salmonicida,Aeromonas,330,Cider,fosfomycin,,
Aeromonas salmonicida,Aeromonas,330,Cider,fusidic acid,,
Aeromonas salmonicida,Aeromonas,330,Cider,glycopeptide,,
Aeromonas salmonicida,Aeromonas,330,Cider,MLS,,
Aeromonas salmonicida,Aeromonas,330,Cider,macrolide,,
Aeromonas salmonicida,Aeromonas,330,Cider,lincosamide,,
Aeromonas salmonicida,Aeromonas,330,Cider,lincosamide_streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Cider,mupirocin,,
Aeromonas salmonicida,Aeromonas,330,Cider,nitroimidazole,,
Aeromonas salmonicida,Aeromonas,330,Cider,phenicol,,
Aeromonas salmonicida,Aeromonas,330,Cider,phenicol_oxazolidinone,,
Aeromonas salmonicida,Aeromonas,330,Cider,phenicol_quinolone,,
Aeromonas salmonicida,Aeromonas,330,Cider,pluromutilin,,
Aeromonas salmonicida,Aeromonas,330,Cider,polymyxin,,
Aeromonas salmonicida,Aeromonas,330,Cider,quinolone,,
Aeromonas salmonicida,Aeromonas,330,Cider,rifamycin,,
Aeromonas salmonicida,Aeromonas,330,Cider,streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Cider,streptothricin,,
Aeromonas salmonicida,Aeromonas,330,Cider,sulphonamide,,
Aeromonas salmonicida,Aeromonas,330,Cider,tetracenomycin,,
Aeromonas salmonicida,Aeromonas,330,Cider,tetracycline,,
Aeromonas salmonicida,Aeromonas,330,Cider,thiostrepton,,
Aeromonas salmonicida,Aeromonas,330,Cider,trimethoprim,,
Aeromonas salmonicida,Aeromonas,330,Cider,tuberactinomycin,,
Aeromonas salmonicida,Aeromonas,330,Cider,Biocide,,
Aeromonas salmonicida,Aeromonas,330,Cider,Metal,,
Aeromonas salmonicida,Aeromonas,330,Dairy,aminoglycoside,,
Aeromonas salmonicida,Aeromonas,330,Dairy,betalactam,,
Aeromonas salmonicida,Aeromonas,330,Dairy,bleomycin,,
Aeromonas salmonicida,Aeromonas,330,Dairy,fosfomycin,,
Aeromonas salmonicida,Aeromonas,330,Dairy,fusidic acid,,
Aeromonas salmonicida,Aeromonas,330,Dairy,glycopeptide,,
Aeromonas salmonicida,Aeromonas,330,Dairy,MLS,,
Aeromonas salmonicida,Aeromonas,330,Dairy,macrolide,,
Aeromonas salmonicida,Aeromonas,330,Dairy,lincosamide,,
Aeromonas salmonicida,Aeromonas,330,Dairy,lincosamide_streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Dairy,mupirocin,,
Aeromonas salmonicida,Aeromonas,330,Dairy,nitroimidazole,,
Aeromonas salmonicida,Aeromonas,330,Dairy,phenicol,,
Aeromonas salmonicida,Aeromonas,330,Dairy,phenicol_oxazolidinone,,
Aeromonas salmonicida,Aeromonas,330,Dairy,phenicol_quinolone,,
Aeromonas salmonicida,Aeromonas,330,Dairy,pluromutilin,,
Aeromonas salmonicida,Aeromonas,330,Dairy,polymyxin,,
Aeromonas salmonicida,Aeromonas,330,Dairy,quinolone,,
Aeromonas salmonicida,Aeromonas,330,Dairy,rifamycin,,
Aeromonas salmonicida,Aeromonas,330,Dairy,streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Dairy,streptothricin,,
Aeromonas salmonicida,Aeromonas,330,Dairy,sulphonamide,,
Aeromonas salmonicida,Aeromonas,330,Dairy,tetracenomycin,,
Aeromonas salmonicida,Aeromonas,330,Dairy,tetracycline,,
Aeromonas salmonicida,Aeromonas,330,Dairy,thiostrepton,,
Aeromonas salmonicida,Aeromonas,330,Dairy,trimethoprim,,
Aeromonas salmonicida,Aeromonas,330,Dairy,tuberactinomycin,,
Aeromonas salmonicida,Aeromonas,330,Dairy,Biocide,,
Aeromonas salmonicida,Aeromonas,330,Dairy,Metal,,
Aeromonas salmonicida,Aeromonas,330,Flour,aminoglycoside,,
Aeromonas salmonicida,Aeromonas,330,Flour,betalactam,,
Aeromonas salmonicida,Aeromonas,330,Flour,bleomycin,,
Aeromonas salmonicida,Aeromonas,330,Flour,fosfomycin,,
Aeromonas salmonicida,Aeromonas,330,Flour,fusidic acid,,
Aeromonas salmonicida,Aeromonas,330,Flour,glycopeptide,,
Aeromonas salmonicida,Aeromonas,330,Flour,MLS,,
Aeromonas salmonicida,Aeromonas,330,Flour,macrolide,,
Aeromonas salmonicida,Aeromonas,330,Flour,lincosamide,,
Aeromonas salmonicida,Aeromonas,330,Flour,lincosamide_streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Flour,mupirocin,,
Aeromonas salmonicida,Aeromonas,330,Flour,nitroimidazole,,
Aeromonas salmonicida,Aeromonas,330,Flour,phenicol,,
Aeromonas salmonicida,Aeromonas,330,Flour,phenicol_oxazolidinone,,
Aeromonas salmonicida,Aeromonas,330,Flour,phenicol_quinolone,,
Aeromonas salmonicida,Aeromonas,330,Flour,pluromutilin,,
Aeromonas salmonicida,Aeromonas,330,Flour,polymyxin,,
Aeromonas salmonicida,Aeromonas,330,Flour,quinolone,,
Aeromonas salmonicida,Aeromonas,330,Flour,rifamycin,,
Aeromonas salmonicida,Aeromonas,330,Flour,streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Flour,streptothricin,,
Aeromonas salmonicida,Aeromonas,330,Flour,sulphonamide,,
Aeromonas salmonicida,Aeromonas,330,Flour,tetracenomycin,,
Aeromonas salmonicida,Aeromonas,330,Flour,tetracycline,,
Aeromonas salmonicida,Aeromonas,330,Flour,thiostrepton,,
Aeromonas salmonicida,Aeromonas,330,Flour,trimethoprim,,
Aeromonas salmonicida,Aeromonas,330,Flour,tuberactinomycin,,
Aeromonas salmonicida,Aeromonas,330,Flour,Biocide,,
Aeromonas salmonicida,Aeromonas,330,Flour,Metal,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,aminoglycoside,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,betalactam,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,bleomycin,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,fosfomycin,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,fusidic acid,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,glycopeptide,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,MLS,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,macrolide,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,lincosamide,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,lincosamide_streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,mupirocin,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,nitroimidazole,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,phenicol,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,phenicol_oxazolidinone,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,phenicol_quinolone,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,pluromutilin,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,polymyxin,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,quinolone,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,rifamycin,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,streptothricin,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,sulphonamide,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,tetracenomycin,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,tetracycline,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,thiostrepton,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,trimethoprim,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,tuberactinomycin,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,Biocide,,
Aeromonas salmonicida,Aeromonas,330,Fruit/Vegetables,Metal,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,aminoglycoside,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,betalactam,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,bleomycin,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,fosfomycin,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,fusidic acid,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,glycopeptide,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,MLS,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,macrolide,,
Aeromonas salmonicida,Aeromonas,330,Spice/Herbs,lincosamide,,
